Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.03,0.72,25.00,199070864638.00,0.044,233.00,451.00,0.02,0.10,72.00,69.00,0.90,0.27,0.68,0.05,0.68,Africa,Algeria
0.05,0.52,66.00,104115863405.00,0.034,178.00,282.00,0.11,0.10,53.00,50.00,0.50,0.48,0.50,0.02,0.41,Africa,Angola
0.04,0.66,29.00,7294900431.00,0.045,34.00,270.00,0.06,0.00,60.00,58.00,0.80,0.43,0.54,0.03,0.42,Africa,Benin
0.02,0.20,60.00,15292424757.00,0.052,404.00,152.00,0.04,0.10,46.00,47.00,1.50,0.34,0.63,0.04,0.57,Africa,Botswana
0.04,0.44,13.00,10395757480.00,0.064,39.00,270.00,0.07,0.00,56.00,55.00,0.50,0.46,0.52,0.03,0.27,Africa,Burkina Faso
0.05,0.52,13.00,2355652064.00,0.09,21.00,274.00,0.06,0.00,55.00,51.00,0.20,0.44,0.54,0.03,0.11,Africa,Burundi
0.04,0.49,15.00,25486923059.00,0.054,64.00,654.00,0.06,0.10,55.00,53.00,0.50,0.43,0.54,0.03,0.52,Africa,Cameroon
0.04,0.55,22.00,2195599491.00,0.039,19.00,504.00,0.10,0.00,51.00,47.00,0.20,0.40,0.56,0.04,0.39,Africa,Central African Republic
0.05,0.76,55.00,12156380062.00,0.028,25.00,732.00,0.09,0.00,51.00,49.00,0.30,0.49,0.49,0.03,0.22,Africa,Chad
0.04,2.18,22.00,610372697.00,0.036,31.00,100.00,0.06,0.10,62.00,59.00,0.30,0.42,0.55,0.03,0.28,Africa,Comoros
0.04,3.39,65.00,23831631365.00,0.061,15.00,336.00,0.09,0.00,51.00,48.00,0.20,0.45,0.52,0.03,0.40,Africa,"Congo, Dem. Rep."
